author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
БЭЛ Девелопмент;developer;https://www.cian.ru/sale/flat/303377181/;Москва;sale;flat;3;6;2;38.7;38313000;Тверской;Долгоруковская ;25к2;Новослободская;Долгоруковская 25
ID 108172779;real_estate_agent;https://www.cian.ru/sale/flat/301496936/;Москва;sale;flat;7;8;1;53.2;58786000;Таганский;Славянская площадь;2/5с1;Китай-город;LUMIN
VESPER;developer;https://www.cian.ru/sale/flat/262519758/;Москва;sale;flat;5;21;2;110.6;103787040;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/302081797/;Москва;sale;flat;2;10;2;69.4;85000000;Тверской; Палиха;4;Менделеевская;Клубный дом Maison Rouge
EraOneHolding;developer;https://www.cian.ru/sale/flat/280427150/;Москва;sale;flat;3;5;2;178.6;150400000;Арбат; Арбат;39;Смоленская;Artisan
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/294212104/;Москва;sale;flat;34;78;2;76.1;62000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040442/;Москва;sale;flat;2;6;2;102.4;98201600;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов 
ID 85604823;unknown;https://www.cian.ru/sale/flat/299429352/;Москва;sale;flat;38;51;2;63.0;36000000;Пресненский;Шмитовский проезд;39к8;Шелепиха;Headliner
Главстрой;developer;https://www.cian.ru/sale/flat/296921240/;Москва;sale;flat;3;26;2;65.8;27526142;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/276019027/;Москва;sale;flat;6;6;2;130.0;58000000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
VESPER;developer;https://www.cian.ru/sale/flat/286258299/;Москва;sale;flat;5;9;2;104.2;143796000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/303087931/;Москва;sale;flat;7;15;2;120.0;149500000;Хамовники; Усачева;15;Спортивная;Садовые кварталы
MR Group;developer;https://www.cian.ru/sale/flat/299093508/;Москва;sale;flat;11;41;2;58.5;33468738;Даниловский;Дубининская ;59к7;Серпуховская;Павелецкая Сити
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Москва;sale;flat;7;9;2;108.3;169000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Tekta Group;developer;https://www.cian.ru/sale/flat/301259751/;Москва;sale;flat;23;42;2;41.6;25837760;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/303087914/;Москва;sale;flat;7;14;2;95.0;169000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Tekta Group;developer;https://www.cian.ru/sale/flat/301260478/;Москва;sale;flat;5;27;2;40.5;24036750;Даниловский;;;Павелецкая;Era
Центрис;real_estate_agent;https://www.cian.ru/sale/flat/303393640/;Москва;sale;flat;13;15;2;117.4;140000000;Хамовники; Усачева;15;Спортивная;Садовые кварталы
Сбербанк Капитал;developer;https://www.cian.ru/sale/flat/288177346/;Москва;sale;flat;2;7;2;112.8;118321582;Якиманка;Софийская набережная;36;Новокузнецкая;Резиденция 1864
ID 111240424;homeowner;https://www.cian.ru/sale/flat/300143306/;Москва;sale;flat;38;52;2;63.0;36000000;Пресненский;Шмитовский проезд;39к1;Шелепиха;Headliner
Главстрой;developer;https://www.cian.ru/sale/flat/301772281/;Москва;sale;flat;2;8;2;48.83;24219680;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/301493797/;Москва;sale;flat;9;32;2;63.0;50700000;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Пионер;developer;https://www.cian.ru/sale/flat/301459955/;Москва;sale;flat;4;11;2;85.3;70625414;Даниловский;;;Павелецкая;Опус ЖК
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303439862/;Москва;sale;flat;3;10;2;90.0;37900000;Басманный;Нижняя Красносельская ;35С48;Бауманская;TriBeCa APARTMENTS
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040534/;Москва;sale;flat;3;8;2;75.2;50308800;Замоскворечье;Шлюзовая набережная;2/1С1;Павелецкая;Элитный жилой комплекс 
